knot points: 32
datatype: FLOAT
noise: OFF
sqp exits condition: CONSTANT TIME
QD COST: 0.1
R COST: 0.0001
rho factor: 1.2
rho max: 10
test iters: 1
max sqp time: 2000
solver: PCG
max pcg iter: 167
save data: OFF
jitters: ON


start: 0 goal: 0
Removing jitters
Done removing jitters
tracking error: 0.00602643
tracking error: 0.0218546
tracking error: 0.0412491
tracking error: 0.0523566
tracking error: 0.0531586
tracking error: 0.0476519
tracking error: 0.0559986
tracking error: 0.0611188
tracking error: 0.0625309
tracking error: 0.064884
tracking error: 0.0692808
tracking error: 0.0998214
tracking error: 0.131807
tracking error: 0.164764
tracking error: 0.198234
tracking error: 0.231778
tracking error: 0.267298
tracking error: 0.299721
tracking error: 0.331007
tracking error: 0.3608
tracking error: 0.388771
tracking error: 0.416839
tracking error: 0.440295
tracking error: 0.46115
tracking error: 0.479218
tracking error: 0.49435
tracking error: 0.514648
tracking error: 0.564027
tracking error: 0.612938
tracking error: 0.661039
tracking error: 0.708012
tracking error: 0.753546
tracking error: 0.799196
tracking error: 0.841085
tracking error: 0.8808
tracking error: 0.918139
tracking error: 0.95292
tracking error: 0.986889
tracking error: 1.01617
tracking error: 1.04256
tracking error: 1.06596
tracking error: 1.08635
tracking error: 1.1056
tracking error: 1.11991
tracking error: 1.13121
tracking error: 1.13955
tracking error: 1.14499
tracking error: 1.14763
tracking error: 1.14947
tracking error: 1.1468
tracking error: 1.14166
tracking error: 1.1342
tracking error: 1.12456
tracking error: 1.11481
tracking error: 1.10128
tracking error: 1.08604
tracking error: 1.06926
tracking error: 1.0511
tracking error: 1.03362
tracking error: 1.01317
tracking error: 0.99179
tracking error: 0.995523
tracking error: 1.00494
tracking error: 1.0135
tracking error: 1.02216
tracking error: 1.02903
tracking error: 1.03509
tracking error: 1.04037
tracking error: 1.0449
tracking error: 1.04964
tracking error: 1.05275
tracking error: 1.05518
tracking error: 1.05699
tracking error: 1.05819
tracking error: 1.05976
tracking error: 1.05983
tracking error: 1.0594
tracking error: 1.05849
tracking error: 1.05711
tracking error: 1.05531
tracking error: 1.05401
tracking error: 1.05143
tracking error: 1.04849
tracking error: 1.04523
tracking error: 1.04167
tracking error: 1.04073
tracking error: 1.06004
tracking error: 1.07864
tracking error: 1.09653
tracking error: 1.11375
tracking error: 1.12988
tracking error: 1.14578
tracking error: 1.16103
